ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
1,Bulbasaur,1d,GA,6,4,,2,1,,6,4,,0,0,,1,0
2,Ivysaur,2d,GA,3,1,,1,0,,0,0,,0,0,,0,0
3,Venusaur,3d,GA,2,0,,0,0,,1,0,,0,0,,0,0
4,Vensuaur Ex,4d,GA,0,0,,1,0,,1,0,,0,0,,1,0
5,Caterpie,1d,GA,3,1,,3,1,,2,0,,0,0,,0,0
6,Metapod,1d,GA,3,1,,1,0,,2,0,,0,0,,0,0
7,Butterfree,3d,GA,1,0,,1,0,,0,0,,0,0,,0,0
8,Weedle,1d,GA,5,3,,2,1,,2,0,,0,0,,0,0
9,Kakuna,1d,GA,1,0,,2,1,,0,0,,0,0,,0,0
10,Beedril,3d,GA,2,0,,1,0,,0,0,,0,0,,0,0
11,Oddish,1d,GA,5,3,,2,1,,1,0,,0,0,,1,0
12,Gloom,2d,GA,4,2,,1,0,,1,0,,0,0,,0,0
13,Vileplum,3d,GA,1,0,,0,0,,0,0,,0,0,,0,0
14,Paras,1d,GA,4,2,,6,4,,5,3,,0,0,,0,0
15,Parasect,2d,GA,2,0,,1,0,,1,0,,0,0,,1,0
16,Venonat,1d,GA,2,0,,0,0,,0,0,,0,0,,0,0
17,Venomoth,2d,GA,3,1,,2,4,,0,0,,0,0,,0,0
18,Bellsprout,1d,GA,1,0,,1,0,,1,0,,0,0,,0,0
19,Weepinbell,2d,GA,1,0,,3,1,,1,0,,0,0,,0,0
20,Victreebell,3d,GA,2,0,,1,0,,0,0,,0,0,,0,0
21,Exeggcute,1d,GA,5,3,,1,0,,3,1,,0,0,,2,0
22,Exeggutor,3d,GA,1,0,,0,0,,0,0,,0,0,,0,0
23,Exeggutor ex,4d,GA,2,0,,0,0,,1,0,,0,0,,0,0
24,Tangela,1d,GA,3,1,,3,1,,2,0,,0,0,,0,0
25,Scyther,1d,GA,1,0,,4,2,,3,1,,0,0,,0,0
26,Pinsir,2d,GA,4,2,,6,4,,4,2,,0,0,,0,0
27,Cottonee,1d,GA,5,3,,9,7,,6,4,,0,0,,2,0
